"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Ghana","Sub-Saharan Africa",2002,19788181,6166330136,3.07302943,227540,94.2,311.61682501287,18949313983.0239
"Gibraltar","Europe & Central Asia",2002,27903,NA,NA,10,NA,NA,NA
"Greece","Europe & Central Asia",2002,10902022,1.54e+11,8.71768644,128900,6.8,14125.8199625721,1342523711760
"Greenland","Europe & Central Asia",2002,56609,1169136691,NA,410450,NA,20652.8412619901,NA
"Grenada","Latin America & Caribbean",2002,102100,540336925.9,6.67353847,340,15.2,5292.23237904016,3605959261.75519
"Guam","East Asia & Pacific",2002,157241,NA,NA,540,NA,NA,NA
"Guatemala","Latin America & Caribbean",2002,12272208,20776403844,6.70663788,107160,46.6,1692.96379624596,139339817030.348
"Guinea","Sub-Saharan Africa",2002,9114287,2949637039,3.76254133,245720,155.8,323.627842638706,11098131267.7363
"Guinea-Bissau","Sub-Saharan Africa",2002,1372367,415843479.8,5.83796501,28120,165.3,303.011861841621,2427679684.70904
"Guyana","Latin America & Caribbean",2002,743107,722460886.4,5.83507299,196850,44.8,972.216499642716,4215612004.5641
"Haiti","Latin America & Caribbean",2002,8834739,3472191962,5.46628153,27560,98.1,393.015793901778,18979978790.4951
"Honduras","Latin America & Caribbean",2002,6499001,7776435882,7.28280497,111890,34.2,1196.55865293758,56634265890.3159
"Hong Kong SAR, China","East Asia & Pacific",2002,6744100,1.66e+11,NA,1050,NA,24614.107145505,NA
"Hungary","Europe & Central Asia",2002,10158608,67516529107,7.46547035,89620,9.8,6646.23825498533,504042646183.221
"Iceland","Europe & Central Asia",2002,287523,9161798221,9.85538991,100250,3.6,31864.57508095,90293093744.6993
"India","South Asia",2002,1090189358,5.24e+11,4.40107258,2973190,84.3,480.650444947748,2306162031920
"Indonesia","East Asia & Pacific",2002,217369087,1.96e+11,2.26862572,1811570,47.6,901.692152757673,444650641120
"Iran, Islamic Rep.","Middle East & North Africa",2002,67696677,1.29e+11,5.38928283,1628550,30.8,1905.55882085616,695217485070
"Iraq","Middle East & North Africa",2002,24943793,NA,NA,437370,43,NA,NA
"Ireland","Europe & Central Asia",2002,3931947,1.28e+11,6.85271589,68890,6.5,32553.846732929,877147633920
"Isle of Man","Europe & Central Asia",2002,78318,1897606791,NA,570,NA,24229.51034245,NA
"Israel","Middle East & North Africa",2002,6570000,1.21e+11,7.49158352,21640,6.4,18417.0471841705,906481605920
"Italy","Europe & Central Asia",2002,57059007,1.27e+12,8.22996699,294110,5,22257.660390059,10452058077300
